annee;code_sexe;sexe;code_secteur_cnu;secteur_disciplinaire;code_groupe_corps;groupe_de_corps;code_uai;etablissement;code_academie;academie;code_region;region;code_pres;PRES;code_idex;IDEX;beneficiaires;geolocalisation
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0753455Y;École normale supérieure;01;Paris;11;Île-de-France;0755575C;PRES Paris Sciences et Lettres - Quartier latin;4;IDEX PSL;1;48.84183, 2.344034
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0753494R;Muséum national d'histoire naturelle;01;Paris;11;Île-de-France;0755574B;PRES Sorbonne université;5;IDEX SUPER;1;48.84412, 2.355615
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0781944P;Université de Versailles Saint-Quentin;25;Versailles;11;Île-de-France;0783617H;PRES Université du Grand Ouest parisien;;Hors IDEX;1;48.7997, 2.140946
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0860856N;Université de Poitiers;13;Poitiers;54;Poitou-Charentes;0861420B;PRES Limousin Poitou-Charentes;;Hors IDEX;1;46.5857, 0.345813
2005;2;Femmes;2;Lettres et sciences humaines;1;Professeurs et assimilés;0941111X;Université Paris 12 - Val de Marne;24;Créteil;11;Île-de-France;0772710C;PRES Université Paris Est;;Hors IDEX;4;48.78816, 2.445964
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0290346U;Université de Brest - Bretagne occidentale;14;Rennes;53;Bretagne;0352756F;PRES Université européenne de Bretagne;;Hors IDEX;1;48.39843, -4.5083
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0311384L;Université Toulouse 3 - Paul Sabatier;16;Toulouse;73;Midi-Pyrénées;0312758E;PRES Université de Toulouse;6;IDEX UNITI;10;43.55708, 1.466079
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0381838S;Université Grenoble 1 - Joseph Fourier;08;Grenoble;82;Rhône-Alpes;0383412C;PRES Université de Grenoble;;Hors IDEX;7;45.19144, 5.767264
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0440984F;Université Nantes;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;2;47.20964, -1.55578
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0623957P;Université d'Artois;09;Lille;31;Nord-Pas-de-Calais;0596870X;PRES Université Lille Nord de France;;Hors IDEX;1;50.28498, 2.791028
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0631525R;Université Clermont-Ferrand 2 - Blaise Pascal;06;Clermont-Ferrand;83;Auvergne;0631987T;PRES Clermont Université;;Hors IDEX;3;45.77626, 3.091604
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0730858L;Université de Chambéry - Savoie;08;Grenoble;82;Rhône-Alpes;0383412C;PRES Université de Grenoble;;Hors IDEX;2;45.56677, 5.917635
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0753471R;Conservatoire national des arts et métiers;01;Paris;11;Île-de-France;0755581J;PRES Hautes Etudes - Sorbonne - Arts et Métiers;;Hors IDEX;1;48.86672, 2.35429
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0753486G;École pratique des hautes études;01;Paris;11;Île-de-France;0755581J;PRES Hautes Etudes - Sorbonne - Arts et Métiers;;Hors IDEX;2;48.85869, 2.329426
2005;2;Femmes;3;Sciences;1;Professeurs et assimilés;0931827F;Université Paris 8 - Vincennes Saint-Denis;24;Créteil;11;Île-de-France;0755698L;PRES Paris Lumières;;Hors IDEX;1;48.94524, 2.363943
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0101060Y;Université de technologie de Troyes;19;Reims;21;Champagne-Ardenne;0212207K;PRES Bourgogne Franche-Comté;;Hors IDEX;2;48.27235, 4.076512
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0212198A;Agrosup Dijon;07;Dijon;26;Bourgogne;;Hors PRES;;Hors IDEX;2;47.31116, 5.065941
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0333298F;Université de Bordeaux;04;Bordeaux;72;Aquitaine;0333178A;PRES Université de Bordeaux;2;IDEX Bordeaux;1;44.82582, -0.60653
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0720916E;Université du Maine;17;Nantes;52;Pays de la Loire;0442665H;PRES Université Nantes Angers Maine;;Hors IDEX;1;48.01605, 0.149889
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0751723R;Université Paris 7 - Denis Diderot;01;Paris;11;Île-de-France;0755598C;PRES Sorbonne Paris Cité;7;IDEX USPC;5;48.8303, 2.381357
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0753471R;Conservatoire national des arts et métiers;01;Paris;11;Île-de-France;0755581J;PRES Hautes Etudes - Sorbonne - Arts et Métiers;;Hors IDEX;2;48.86672, 2.35429
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0911975C;Université d'Evry Val-d'Essonne;25;Versailles;11;Île-de-France;0912274C;PRES UniverSud Paris;;Hors IDEX;1;48.62488, 2.426571
2005;2;Femmes;3;Sciences;2;Maîtres de conférences et assimilés;0951793H;Université de Cergy-Pontoise;25;Versailles;11;Île-de-France;0783617H;PRES Université du Grand Ouest parisien;;Hors IDEX;2;49.04102, 2.080776
